Restaurant Name,Cuisine Type,Location,Best Indian Food Item,Link
Naivaidhyam Food Point,Fast Food,Shastri Nagar,HotDog,https://goo.gl/maps/T9yRNd4sFnYGncMc9
Naivaidhyam Food Point,Fast Food,Shastri Nagar,Pav Bhaji,https://goo.gl/maps/xTZAEtjuWWDu6Ft26
Nandi Restaurant,South Indian ,Chopasani Housing Board,Dosa,https://goo.gl/maps/CGkKrg9mdaf56Dff7
Nandi Restaurant,South Indian ,Choupasani housing Borad,Idli Sambhar,https://goo.gl/maps/CGkKrg9mdaf56Dff7
Nandi Restaurant,South Indian ,Choupasani housing Borad,Medu Vada,https://goo.gl/maps/CGkKrg9mdaf56Dff7
Nandi Restaurant,South Indian ,Choupasani housing Borad,uttpam,https://goo.gl/maps/CGkKrg9mdaf56Dff7
Naveen Juice and Ice  Cream Parlour,Drinks/ Dessert,"Marudhar Mridul Marg, Jaljog Circle",Shake,https://goo.gl/maps/5h11qq1yxg3sxKBs9
Naveen Juice and Ice  Cream Parlour,Drinks/ Dessert,"Marudhar Mridul Marg, Jaljog Circle",Ice Cream,https://goo.gl/maps/5h11qq1yxg3sxKBs9
New Bombay Pav Bhaji ,Fast Food,"Cloth Market Rd,Patrakar colony",Pav Bhaji,https://goo.gl/maps/5h11qq1yxg3sxKBs9
New Naveen Juice and Ice  Cream Parlour,Drinks/ Dessert,Shastri Nagar,Ice Cream,https://goo.gl/maps/5h11qq1yxg3sxKBs9
Nukkad vali Chat,Fast Food,Paota C Road,Aloo Tikki,https://goo.gl/maps/5kWD7XmgRffeVrwP9
Nukkad vali Chat,Fast Food,Paota C Road,Chat,https://goo.gl/maps/5kWD7XmgRffeVrwP9
On The Rocks,Fast Food,Circuit house,Panner Tikka,https://goo.gl/maps/DyE9boLJPvCvdq9AA
OneMore Restaurant & Bar,Fast Food,Near Gandhi Maidan Park,French Fries,https://goo.gl/maps/cXEtwerSBtbw7Dao6
Panjabu Chole Bahture,Indian,Shastri Circle,Chole Bhature,https://goo.gl/maps/3Bt7zUnFM5HpBoTz7
Parashwanath Cold Drink House,Drinks/ Dessert,"oppo. Police Control room,High Court Road",Shake,https://goo.gl/maps/3Bt7zUnFM5HpBoTz7
Parashwanath Cold Drink House,Drinks/ Dessert,"oppo. Police Control room,High Court Road",Ice Cream,https://goo.gl/maps/DwrZwqQGNFUhY1Tp6
Parashwanath Ice Cream,Drinks/ Dessert,Sardarpura,Ice Cream,https://goo.gl/maps/2bihfU8L7uUx7no89
Pirates cafe,Fast Food,Shastri  Nagar,French Fries,https://goo.gl/maps/EJK3Nqc7dmU38D4W7
Pizza Break,Fast Food,Bhagat ki Kothi,Pizza,https://goo.gl/maps/vzzQTarTX6yXnXyy8
Pizza Da Dhaba & London Shakes,Fast Food,Oppo. Medical College,Pasta,https://goo.gl/maps/vzzQTarTX6yXnXyy8
Pizza Hut,Fast Food,Sardarpura/Paota,Pizza,https://goo.gl/maps/ZJHEvSq9cQk94DAH8
Pizza Hut,Fast Food,Sardarpura,Garlic Bread,https://goo.gl/maps/geyH2dxnnrzWGxBr6
Punjabi chic Inn,Indian,Medical College Road,Biryani,https://goo.gl/maps/2eSc9iCihmUvWaLY7
Punjabi chic Inn,Indian,medical College Road,Chicken,https://goo.gl/maps/Yx2NjYTs7So2ywVs9
Punjabi Chole bahture,Indian,Shastri circle,Chole kulche,https://goo.gl/maps/pVTeWJGR1xS3PLrr6
Purohit Momos,Fast Food,Shakti Nagar,Momos,https://goo.gl/maps/pVTeWJGR1xS3PLrr6
Raja Chicken Corner,Indian,Chopasani Housing Board,Chicken,https://goo.gl/maps/ZhmXSpE8QWBoZFtN6
Ram madrasi Idli Dosa,South Indian ,Sardarpura,Dosa,https://goo.gl/maps/ZhmXSpE8QWBoZFtN6
Ram madrasi Idli Dosa,South Indian ,Sardarpura,Idli Sambhar,https://goo.gl/maps/EJK3Nqc7dmU38D4W7
Ramdev Dosa corner,South Indian ,Sabji  Mandii Link road,Idli Sambhar,https://goo.gl/maps/bigMREFvSfsAn1Ny6
Rigveda Jodhpur,Fast Food,PWD Colony,Panner Tikka,https://goo.gl/maps/H122giPXnFB1fBvw8
Rigveda Jodhpur,South Indian ,PWD Colony,Medu Vada,https://goo.gl/maps/H122giPXnFB1fBvw8
Rigveda Jodhpur,Fast Food,PWD Colony,Manchurian,https://goo.gl/maps/H122giPXnFB1fBvw8
Rings & Rolls,Fast Food,Umadbhawan palace Rd,Rolls,https://goo.gl/maps/gNwTS193Nc1KQqcz7
Rising Bowl,Fast Food,Ratanada,Noodles,https://goo.gl/maps/tGspAMdBfHKyL5w26
Rising Bowl,Fast Food,Ratanada,Manchurian,https://goo.gl/maps/tGspAMdBfHKyL5w26
Rolls Roy,Fast Food,Sardarpura,Rolls,https://goo.gl/maps/9iy3TT637K2QxE818
Sam's Art Cafe,Drinks/ Dessert,"Makrana Mohalla,near Step well",Lassi,https://goo.gl/maps/RpMp1hYW4abf7hpU8
Sankalp Restaurant,South Indian ,Residency Road,Dosa,https://goo.gl/maps/oar1aqPxgHJ43tqd7
Sankalp Restaurant,South Indian ,Residency Road,Idli Sambhar,https://goo.gl/maps/oar1aqPxgHJ43tqd7
Sankalp Restaurant,South Indian ,Residency Road,Medu Vada,https://goo.gl/maps/oar1aqPxgHJ43tqd7
Sankalp Restaurant,South Indian ,Residency Road,uttpam,https://goo.gl/maps/oar1aqPxgHJ43tqd7
Scoops,Drinks/ Dessert,"Fort Road, Paota",Ice Cream,https://goo.gl/maps/PTPCqDRmVxBLs5DV9
Shadab's Kebabs,Indian,Chopasani Road,Biryani,https://goo.gl/maps/8oxoyAwTiC5vwEuh9
Shahi Samosa Arora Namkeen,Indian,Clock Tower Road,Kachori,https://goo.gl/maps/YvW22D8EcnbquzC66
Shahi Samosa Arora Namkeen,Indian,Clock Tower Road,Samosa,https://goo.gl/maps/YvW22D8EcnbquzC66
Shahi Samosa Arora Namkeen,Indian,Clock Tower Road,Mirchi Bada,https://goo.gl/maps/YvW22D8EcnbquzC66
Shahi Samosa Arora Namkeen,Drinks/ Dessert,Nai Sarak,Lassi,https://goo.gl/maps/YvW22D8EcnbquzC66
Shakewallah,Drinks/ Dessert,"NearHabibs Saloon,Sindhi Colony",Shake,https://goo.gl/maps/UDXbs1r4KJLb4Wu56
Shiv Gouri Juice And Icecream Parlour,Drinks/ Dessert,Sardarpura,Shake,https://goo.gl/maps/TA59sASMNyF5gMLH7
Shiv Gouri Juice And Icecream Parlour,Drinks/ Dessert,Sardarpura,Ice Cream,https://goo.gl/maps/TA59sASMNyF5gMLH7
Shree Ganesh Dosa Corner,South Indian ,Ratanada,Dosa,https://goo.gl/maps/ZYsVNHw5DMpGYPht5
